iter	Passed	Remaining
440	1294	1640
441	1296	1637
442	1299	1633
443	1301	1629
444	1303	1625
445	1307	1624
446	1310	1620
447	1313	1617
448	1315	1614
449	1317	1610
450	1321	1608
451	1324	1605
452	1326	1601
453	1329	1598
454	1331	1594
455	1334	1592
456	1337	1589
457	1340	1586
458	1342	1582
459	1345	1579
460	1347	1575
461	1350	1572
462	1353	1569
463	1355	1565
464	1357	1562
465	1360	1558
466	1362	1554
467	1364	1551
468	1367	1547
469	1369	1544
470	1371	1540
471	1374	1537
472	1376	1533
473	1379	1531
474	1382	1527
475	1384	1524
476	1386	1520
477	1389	1517
478	1391	1513
479	1393	1510
480	1396	1506
481	1398	1503
482	1401	1499
483	1403	1496
484	1405	1492
485	1408	1489
486	1410	1486
487	1412	1482
488	1415	1478
489	1417	1475
490	1419	1471
491	1422	1468
492	1424	1465
493	1427	1462
494	1429	1458
495	1432	1455
496	1434	1451
497	1437	1448
498	1439	1445
499	1442	1442
500	1444	1438
501	1446	1435
502	1449	1432
503	1452	1429
504	1454	1425
505	1456	1422
506	1459	1418
507	1461	1415
508	1463	1412
509	1466	1408
510	1468	1405
511	1470	1401
512	1473	1398
513	1475	1394
514	1477	1391
515	1480	1388
516	1482	1384
517	1484	1381
518	1486	1377
519	1489	1374
520	1491	1371
521	1493	1367
522	1496	1364
523	1498	1360
524	1500	1357
525	1502	1354
526	1505	1350
527	1507	1347
528	1509	1344
529	1512	1340
530	1514	1337
531	1516	1334
532	1518	1330
533	1521	1327
534	1523	1324
535	1525	1320
536	1528	1317
537	1530	1314
538	1532	1310
539	1534	1307
540	1537	1304
541	1539	1300
542	1541	1297
543	1544	1294
544	1546	1291
545	1548	1287
546	1551	1284
547	1553	1281
548	1555	1277
549	1557	1274
550	1560	1271
551	1562	1268
552	1565	1265
553	1567	1261
554	1569	1258
555	1571	1255
556	1574	1252
557	1576	1248
558	1578	1245
559	1581	1242
560	1583	1238
561	1585	1235
562	1587	1232
563	1589	1229
564	1592	1225
565	1594	1222
566	1597	1219
567	1599	1216
568	1602	1213
569	1604	1210
570	1606	1207
571	1608	1203
572	1611	1200
573	1613	1197
574	1615	1194
575	1618	1191
576	1620	1187
577	1622	1184
578	1624	1181
579	1627	1178
580	1629	1175
581	1632	1172
582	1634	1169
583	1637	1166
584	1640	1163
585	1642	1160
586	1645	1157
587	1647	1154
588	1650	1151
589	1652	1148
590	1655	1145
591	1658	1143
592	1661	1140
593	1663	1136
594	1665	1133
595	1668	1130
596	1671	1128
597	1674	1125
598	1677	1122
599	1679	1119
600	1681	1116
601	1684	1113
602	1687	1110
603	1689	1107
604	1691	1104
605	1694	1101
606	1696	1098
607	1700	1096
608	1702	1093
609	1705	1090
610	1707	1087
611	1710	1084
612	1714	1082
613	1716	1079
614	1718	1076
615	1721	1073
616	1723	1069
617	1726	1067
618	1730	1065
619	1732	1062
620	1735	1059
621	1737	1056
622	1740	1053
623	1743	1050
624	1745	1047
625	1748	1044
626	1750	1041
627	1753	1038
628	1755	1035
629	1758	1032
630	1761	1029
631	1763	1026
632	1765	1023
633	1768	1020
634	1770	1017
635	1773	1014
636	1775	1011
637	1777	1008
638	1779	1005
639	1782	1002
640	1784	999
641	1787	996
642	1790	993
643	1792	990
644	1794	987
645	1797	984
646	1799	982
647	1802	979
648	1804	976
649	1807	973
650	1810	970
651	1812	967
652	1816	965
653	1818	962
654	1820	959
655	1822	955
656	1825	953
657	1827	950
658	1830	947
659	1833	944
660	1835	941
661	1837	938
662	1840	935
663	1842	932
664	1845	929
665	1847	926
666	1850	923
667	1852	920
668	1855	918
669	1857	915
670	1860	912
671	1862	909
672	1865	906
673	1868	903
674	1870	900
675	1874	898
676	1876	895
677	1879	892
678	1882	889
679	1884	886
680	1887	883
681	1889	881
682	1892	878
683	1894	875
684	1896	872
685	1899	869
686	1902	866
687	1904	863
688	1906	860
689	1909	857
690	1911	854
691	1913	851
692	1916	849
693	1919	846
694	1921	843
695	1924	840
696	1926	837
697	1929	834
698	1931	831
699	1934	828
700	1936	826
701	1939	823
702	1941	820
703	1944	817
704	1946	814
705	1949	811
706	1951	808
707	1953	805
708	1956	802
709	1958	799
710	1960	796
711	1962	793
712	1964	790
713	1967	787
714	1969	785
715	1971	782
716	1973	779
717	1976	776
718	1978	773
719	1980	770
720	1982	767
721	1985	764
722	1987	761
723	1989	758
724	1992	755
725	1994	752
726	1996	749
